prompt,chosen,rejected,true_label,preferred_matches_label
Shout out James Boswell  #unibowl,"No

Reasoning:
- The quote is mocking ""unibowl"" (the New York Bowl) and its association with Hillary Clinton's campaign.
- It's an ironic way to praise someone who is not in the running for President.
- The humor is that it appears as though the speaker is criticizing James Boswell, but actually praising his work on unibowball.com.","No

Reasoning: The quote mentions ""James Boswell"" but then goes on to mention an unibowler (a term for a team that plays at Uniswap), so there's no contradiction here. The phrase itself doesn't imply any sarcasm, it just references someone who has played at Uniswap.",1,False
My mouth while drunk….. unstoppable,"No

Reasoning: The phrase ""my mouth while drunk"" is an idiom that literally means ""I'm going to vomit right now"" which is not related to drinking and speaking freely. It's more of a metaphorical expression rather than a literal one, so it would be considered absurdly ironic.","No

Reasoning:
This statement uses an idiom that suggests something completely outlandish and contradictory to everyday experience, which fits the definition of sarcasm as described in the text. The use of ""unstoppable"" here implies a sense of power and authority beyond reason, which is a strong indicator of sarcasm. Additionally, the repetition of ""my mouth"" adds to the sense of unreality or lack of control, reinforcing the notion that this was not a normal reaction to alcohol consumption.",0,True
"""Alexa add small bananas to the shopping list."" I've added smooth armours to your shopping list."" Gee thanks Alexa! #alexa","No

Reasoning:
This message is clearly mocking Alexa for making requests she doesn't understand or agree with, which would be considered sarcastic. The use of capital letters and exclamation points also adds emphasis, further supporting its intended sarcasm.","No

Reasoning: The user is expressing gratitude for adding small bananas to their shopping list, which implies they found it funny that Amazon didn't recognize them as smooth armors when they were asked if they had purchased smooth armors before. The sarcasm here lies in the fact that they seem to be making fun of the product being asked about, rather than being offended by it.",1,False
Andrews really trying to explain to me that football and rupauls drag race aren’t the same thing when it in fact is the same thing.,"No

Reasoning:
This statement is an example of sarcasm because it highlights the contradiction between Andrews's interpretation of the relationship between football and Ruppert's rap game, which he claims are identical, but actually they are different concepts. The phrase ""the same thing"" also implies that these two things can be understood as equivalent, further emphasizing the discrepancy and irony present in the original text.","No

Reasoning: The user is pointing out a difference between a ""football and rupauls drag race"" and an actual ""drag race,"" suggesting they think these two terms are different.",1,False
"Investing doesn’t need to be complicated. Invest in a low cost global index fund or ETF over the long-term, have PAYtience and watch your money grow!","No

The text seems like it's suggesting that investing isn't necessarily complicated if you're looking at long-term investments rather than daily transactions, and it recommends focusing on a diversified portfolio and paying attention to taxes. This kind of advice might sound cynical if applied to everyday trading but is actually very common advice given to investors.","No

The statement appears to be offering advice on how to invest wisely, which is generally seen as more of an ethical investment approach than outright advice on specific investments.",0,True
Got to look into these gorgeous eyes while getting my tooth pulled http://t.co/w5hN4Mw,"No

Reasoning: The quote mentions a ""gorgeous eye"", which is an unflattering description that doesn't align with the context of someone needing their teeth pulled, leading to sarcasm.","No

Reasoning:
This text is clearly mocking or insulting someone's physical appearance or medical condition, which makes it an example of sarcasm. The use of ""gorgeous"" instead of ""beautiful"" further emphasizes its intended negativity towards something physical.",0,True
finding vegetarian chocolate mousse is such an annoyingly hard task to do,"No

Reasoning:
The use of ""such"" in this context suggests that the phrase was meant literally and should not be interpreted as an exaggeration or a negative statement about the difficulty of finding vegetarian chocolate mousse, which would likely be more commonly used in everyday language when referring to difficult tasks or situations. The wordplay here could be interpreted in a humorous way, but it's also common for sarcasm to come from using words or phrases that carry multiple meanings. 

In this case, the","No

Reasoning: The phrase ""such an annoyingly hard task"" suggests it's a difficult job that requires significant effort, which implies sarcasm rather than irony or exaggeration.",0,True
when i was younger i was restricted to one hour a day on the computer.....how did i survive,"No

Reasoning: The quote implies that time spent on computers was necessary for survival, which doesn't fit the sarcastic tone described in the text. It seems more like a personal anecdote rather than a comment on the user's experience with their limitations.","No

Reasoning:
The statement is ironic because it implies that the person has limited time available for gaming (one hour per day) while also being restricted to just one hour each day due to physical limitations, which would make it impossible to ""survive"". This is a common scenario in many situations where people have extreme limitations imposed upon them, making survival feel like an endless task rather than an achievable goal.",0,True
"Yes, it's unfortunate that we are in lockdown again - however, this blame mentality isn't helping anyone. With everything we've experienced during lockdown, we shouldn't move forward with divisive and unkind comments but instead with unity and compassion 💕 #leicesterlockdown","No

Reasoning: The author uses sarcasm to criticize the blame mentality towards the virus and its impact on society rather than offering any solutions or constructive criticism about how to handle the situation effectively. They seem to be focusing solely on pointing out negative aspects without providing meaningful advice or addressing the issues they raise.","No

Reasoning:
The author is expressing frustration and blaming others for the current state of affairs, which is clearly not supportive of unity and compassion. The tone suggests an attempt to justify their own actions rather than engaging constructively with issues.",0,True
"My boys Sam &amp; Ben Haigh (8, 4) are huge fans of yours and would like to wish you a happy birthday all the way from England, ps cant wait to try the colour challenge with the boys during lockdown great ideas to keep them busy ! x @Preston","No

Reasoning: The text expresses excitement about wishing for a special day with their children and mentions having an idea to keep them occupied, which suggests they have plans outside of this specific holiday occasion.","No

Reasoning:
The text is clearly mocking or jokingly suggesting that the author wants to celebrate his birthday with his sons, which is not intended as a positive statement about their wishes. The tone is lighthearted and informal, further indicating sarcasm.",0,True
"I love drawing feets 👹👹👹
Must draw more feet 👹✨","No

Reasoning:
- The author is expressing appreciation for drawing feet.
- However, this doesn't necessarily indicate sarcasm as it's also common to express admiration for drawings in general.
- Therefore, it can be considered a normal expression of appreciation without necessarily being sarcastic.

So, my answer is: No.","No

Reasoning: The user mentions they ""love drawing feet"", which implies admiration for the feet in question (presumably an artist), and then says ""Must draw more feet"" again, implying that they want to draw more than they already have. This clearly indicates sarcasm.",0,True
I’M SO PROUD OF MY FRIENDS 💖,"No

Reasoning:
This statement is clearly mocking friends, which is the intended negative tone. The use of ""so proud"" suggests an extremely positive view on their relationships, making it a clear example of sarcasm.","No

Reasoning: The phrase ""I'm so proud of my friends"" is an example of hyperbole, suggesting that one's feelings towards their friends have been greatly exaggerated to highlight the friendship. In this context, it could be interpreted as a self-deprecating comment rather than sarcasm.",0,True
